timestamp,symbol,current_price,high,low,open,previous_close
2025-04-17T13:17:54.529934,AAPL,196.98,198.8335,194.42,197.2,194.27
2025-04-17T13:17:54.693646,TSLA,241.37,244.34,237.6833,243.47,241.55
2025-04-17T13:17:54.857206,JPM,231.96,234.34,230.55,230.8,229.61
2025-04-17T13:17:55.004676,JNJ,157.47,159.44,154.16,154.16,153.91
2025-04-17T13:17:55.159204,PG,170.63,171.65,167.35,167.53,166.39
2025-04-17T13:19:02.720853,AAPL,196.98,198.8335,194.42,197.2,194.27
2025-04-17T13:19:02.876320,TSLA,241.37,244.34,237.6833,243.47,241.55
2025-04-17T13:19:03.128393,JPM,231.96,234.34,230.55,230.8,229.61
2025-04-17T13:19:03.291636,JNJ,157.47,159.44,154.16,154.16,153.91
2025-04-17T13:19:03.457567,PG,170.63,171.65,167.35,167.53,166.39
2025-04-17T17:54:15.879095,AAPL,196.98,198.8335,194.42,197.2,194.27
2025-04-17T17:54:16.036349,TSLA,241.37,244.34,237.6833,243.47,241.55
2025-04-17T17:54:16.197600,JPM,231.96,234.34,230.55,230.8,229.61
2025-04-17T17:54:16.351865,JNJ,157.47,159.44,154.16,154.16,153.91
2025-04-17T17:54:16.502274,PG,170.63,171.65,167.35,167.53,166.39
2025-04-17T17:54:24.680081,AAPL,196.98,198.8335,194.42,197.2,194.27
2025-04-17T17:54:24.838054,TSLA,241.37,244.34,237.6833,243.47,241.55
2025-04-17T17:54:24.991245,JPM,231.96,234.34,230.55,230.8,229.61
2025-04-17T17:54:25.184952,JNJ,157.47,159.44,154.16,154.16,153.91
2025-04-17T17:54:25.331150,PG,170.63,171.65,167.35,167.53,166.39
2025-04-17T18:07:36.108628,AAPL,196.98,198.8335,194.42,197.2,194.27
2025-04-17T18:07:36.261783,TSLA,241.37,244.34,237.6833,243.47,241.55
2025-04-17T18:07:36.433520,JPM,231.96,234.34,230.55,230.8,229.61
2025-04-17T18:07:36.579201,JNJ,157.47,159.44,154.16,154.16,153.91
2025-04-17T18:07:36.752612,PG,170.63,171.65,167.35,167.53,166.39
2025-04-17T18:08:10.002126,AAPL,196.98,198.8335,194.42,197.2,194.27
2025-04-17T18:08:10.328890,TSLA,241.37,244.34,237.6833,243.47,241.55
2025-04-17T18:08:10.487170,JPM,231.96,234.34,230.55,230.8,229.61
2025-04-17T18:08:10.651081,JNJ,157.47,159.44,154.16,154.16,153.91
2025-04-17T18:08:10.821639,PG,170.63,171.65,167.35,167.53,166.39
2025-04-17T18:08:31.498985,AAPL,196.98,198.8335,194.42,197.2,194.27
2025-04-17T18:08:31.648635,TSLA,241.37,244.34,237.6833,243.47,241.55
2025-04-17T18:08:31.808407,JPM,231.96,234.34,230.55,230.8,229.61
2025-04-17T18:08:31.948166,JNJ,157.47,159.44,154.16,154.16,153.91
2025-04-17T18:08:32.095805,PG,170.63,171.65,167.35,167.53,166.39
2025-04-18T12:54:52.968773,AAPL,196.98,198.8335,194.42,197.2,194.27
2025-04-18T12:54:53.120214,TSLA,241.37,244.34,237.6833,243.47,241.55
2025-04-18T12:54:53.275041,JPM,231.96,234.34,230.55,230.8,229.61
2025-04-18T12:54:53.422194,JNJ,157.47,159.44,154.16,154.16,153.91
2025-04-18T12:54:53.572066,PG,170.63,171.65,167.35,167.53,166.39
2025-04-18T12:55:43.521392,AAPL,196.98,198.8335,194.42,197.2,194.27
2025-04-18T12:55:43.675031,TSLA,241.37,244.34,237.6833,243.47,241.55
2025-04-18T12:55:43.842146,JPM,231.96,234.34,230.55,230.8,229.61
2025-04-18T12:55:44.028581,JNJ,157.47,159.44,154.16,154.16,153.91
2025-04-18T12:55:44.178744,PG,170.63,171.65,167.35,167.53,166.39
2025-04-18T12:56:02.874856,AAPL,196.98,198.8335,194.42,197.2,194.27
2025-04-18T12:56:03.024278,TSLA,241.37,244.34,237.6833,243.47,241.55
2025-04-18T12:56:03.188378,JPM,231.96,234.34,230.55,230.8,229.61
2025-04-18T12:56:03.435826,JNJ,157.47,159.44,154.16,154.16,153.91
2025-04-18T12:56:03.592621,PG,170.63,171.65,167.35,167.53,166.39
2025-04-18T13:08:10.790729,AAPL,196.98,198.8335,194.42,197.2,194.27
2025-04-18T13:08:10.972538,TSLA,241.37,244.34,237.6833,243.47,241.55
2025-04-18T13:08:11.139162,JPM,231.96,234.34,230.55,230.8,229.61
2025-04-18T13:08:11.298465,JNJ,157.47,159.44,154.16,154.16,153.91
2025-04-18T13:08:11.463550,PG,170.63,171.65,167.35,167.53,166.39
2025-04-18T13:13:50.037543,AAPL,196.98,198.8335,194.42,197.2,194.27
2025-04-18T13:13:50.193293,TSLA,241.37,244.34,237.6833,243.47,241.55
2025-04-18T13:13:50.350033,JPM,231.96,234.34,230.55,230.8,229.61
2025-04-18T13:13:50.506688,JNJ,157.47,159.44,154.16,154.16,153.91
2025-04-18T13:13:50.662256,PG,170.63,171.65,167.35,167.53,166.39
2025-04-18T13:14:41.322544,AAPL,196.98,198.8335,194.42,197.2,194.27
2025-04-18T13:14:41.480206,TSLA,241.37,244.34,237.6833,243.47,241.55
2025-04-18T13:14:41.659540,JPM,231.96,234.34,230.55,230.8,229.61
2025-04-18T13:14:41.804111,JNJ,157.47,159.44,154.16,154.16,153.91
2025-04-18T13:14:41.965332,PG,170.63,171.65,167.35,167.53,166.39
2025-04-18T13:19:16.058741,AAPL,196.98,198.8335,194.42,197.2,194.27
2025-04-18T13:19:16.209993,TSLA,241.37,244.34,237.6833,243.47,241.55
2025-04-18T13:19:16.364234,JPM,231.96,234.34,230.55,230.8,229.61
2025-04-18T13:19:16.518903,JNJ,157.47,159.44,154.16,154.16,153.91
2025-04-18T13:19:16.675575,PG,170.63,171.65,167.35,167.53,166.39
2025-04-18T13:22:04.952501,AAPL,196.98,198.8335,194.42,197.2,194.27
2025-04-18T13:22:05.295945,JPM,231.96,234.34,230.55,230.8,229.61
2025-04-18T13:22:05.465338,JNJ,157.47,159.44,154.16,154.16,153.91
2025-04-18T13:22:05.630553,PG,170.63,171.65,167.35,167.53,166.39
2025-04-20T07:42:20.902392,AAPL,196.98,198.8335,194.42,197.2,194.27
2025-04-20T07:42:21.079808,TSLA,241.37,244.34,237.6833,243.47,241.55
2025-04-20T07:42:21.244182,JPM,231.96,234.34,230.55,230.8,229.61
2025-04-20T07:42:21.402609,JNJ,157.47,159.44,154.16,154.16,153.91
2025-04-20T07:42:21.558333,PG,170.63,171.65,167.35,167.53,166.39
2025-04-20T07:42:44.500050,AAPL,196.98,198.8335,194.42,197.2,194.27
2025-04-20T07:42:44.663775,TSLA,241.37,244.34,237.6833,243.47,241.55
2025-04-20T07:42:44.834087,JPM,231.96,234.34,230.55,230.8,229.61
2025-04-20T07:42:44.993810,JNJ,157.47,159.44,154.16,154.16,153.91
2025-04-20T07:42:45.150310,PG,170.63,171.65,167.35,167.53,166.39
2025-04-20T07:51:10.207519,AAPL,196.98,198.8335,194.42,197.2,194.27
2025-04-20T07:51:10.360323,TSLA,241.37,244.34,237.6833,243.47,241.55
2025-04-20T07:51:10.523056,JPM,231.96,234.34,230.55,230.8,229.61
2025-04-20T07:51:10.691847,JNJ,157.47,159.44,154.16,154.16,153.91
2025-04-20T07:51:10.871874,PG,170.63,171.65,167.35,167.53,166.39
2025-04-20T07:51:21.045538,AAPL,196.98,198.8335,194.42,197.2,194.27
2025-04-20T07:51:21.199147,TSLA,241.37,244.34,237.6833,243.47,241.55
2025-04-20T07:51:21.359470,JPM,231.96,234.34,230.55,230.8,229.61
2025-04-20T07:51:21.523381,JNJ,157.47,159.44,154.16,154.16,153.91
2025-04-20T07:51:21.705835,PG,170.63,171.65,167.35,167.53,166.39
2025-04-20T07:51:53.001107,AAPL,196.98,198.8335,194.42,197.2,194.27
2025-04-20T07:51:53.173770,TSLA,241.37,244.34,237.6833,243.47,241.55
2025-04-20T07:51:53.342789,JPM,231.96,234.34,230.55,230.8,229.61
2025-04-20T07:51:53.513374,JNJ,157.47,159.44,154.16,154.16,153.91
2025-04-20T07:51:53.812261,PG,170.63,171.65,167.35,167.53,166.39
